,Name,date,test,value
0,Joey,2020-05-29,test1,0.5
1,Chandler,2021-04-07,test1,0.0
2,Rachel,2021-05-06,test1,0.6
3,Joey,2020-10-10,test1,0.9
4,Ross,2020-08-27,test1,0.6
5,Rachel,2020-01-04,test1,1.0
6,Phoebe,2020-10-18,test1,0.9
7,Rachel,2020-07-07,test1,0.5
8,Chandler,2020-12-06,test1,0.8
9,Phoebe,2021-01-06,test1,0.3
10,Monica,2020-08-13,test1,0.6
11,Chandler,2020-09-06,test1,0.6
12,Chandler,2020-05-11,test1,0.8
13,Joey,2020-06-07,test1,0.5
14,Phoebe,2021-04-09,test1,0.9
15,Monica,2020-06-08,test1,0.6
16,Monica,2020-10-17,test1,0.8
17,Monica,2021-04-26,test1,0.3
18,Joey,2020-05-16,test1,0.0
19,Ross,2020-12-19,test1,0.5
20,Monica,2020-07-19,test1,0.1
21,Ross,2020-09-07,test1,0.7
22,Ross,2020-01-02,test1,0.3
23,Phoebe,2021-01-31,test1,0.1
24,Joey,2020-11-11,test1,0.5
25,Chandler,2020-08-29,test1,0.1
26,Monica,2020-03-29,test1,1.0
27,Monica,2021-03-02,test1,0.2
28,Ross,2020-02-18,test1,0.6
29,Ross,2020-06-04,test1,0.1
30,Chandler,2021-01-10,test1,1.0
31,Phoebe,2021-02-07,test1,0.2
32,Ross,2020-02-02,test1,0.9
33,Phoebe,2020-03-01,test1,0.4
34,Joey,2020-11-19,test1,0.7
35,Chandler,2020-03-20,test1,0.1
36,Joey,2021-05-08,test1,0.0
37,Joey,2020-09-26,test1,0.1
38,Phoebe,2020-04-02,test1,0.3
39,Joey,2021-02-06,test1,0.6
40,Phoebe,2020-09-29,test1,0.0
41,Ross,2020-02-16,test1,0.2
42,Chandler,2020-01-17,test1,0.1
43,Rachel,2020-10-08,test1,0.4
44,Rachel,2020-10-11,test1,0.0
45,Chandler,2021-03-27,test1,0.2
46,Rachel,2020-12-14,test1,0.9
47,Rachel,2020-01-05,test1,0.0
48,Monica,2020-04-12,test1,0.4
49,Joey,2020-03-03,test1,1.0
50,Monica,2020-09-11,test1,0.8
51,Rachel,2021-02-21,test1,0.5
52,Chandler,2020-01-09,test1,0.2
53,Phoebe,2020-05-05,test1,1.0
54,Chandler,2020-05-06,test1,0.7
55,Phoebe,2020-03-26,test1,0.5
56,Rachel,2021-03-04,test1,0.8
57,Rachel,2020-07-13,test1,0.4
58,Rachel,2020-02-22,test1,0.1
59,Chandler,2021-03-28,test1,0.4
60,Chandler,2020-01-31,test1,0.2
61,Ross,2021-04-04,test1,0.5
62,Rachel,2020-08-21,test1,0.2
63,Monica,2020-11-25,test1,0.2
64,Chandler,2020-03-17,test1,0.5
65,Phoebe,2020-03-19,test1,0.3
66,Monica,2020-04-10,test1,1.0
67,Joey,2020-02-12,test1,0.6
68,Chandler,2020-10-16,test1,0.3
69,Chandler,2020-11-21,test1,0.1
70,Joey,2021-02-13,test1,1.0
71,Joey,2020-08-30,test1,0.7
72,Chandler,2020-07-04,test1,1.0
73,Phoebe,2020-05-13,test1,0.4
74,Phoebe,2021-01-05,test1,1.0
75,Rachel,2020-04-28,test1,0.7
76,Joey,2020-02-03,test1,0.8
77,Phoebe,2020-10-21,test1,0.8
78,Ross,2020-07-03,test1,0.6
79,Chandler,2020-11-14,test1,0.3
80,Joey,2020-06-09,test1,0.2
81,Monica,2020-08-22,test1,0.0
82,Ross,2020-04-05,test1,1.0
83,Chandler,2020-04-14,test1,0.2
84,Rachel,2020-04-23,test1,0.4
85,Rachel,2021-04-02,test1,0.4
86,Phoebe,2020-07-12,test1,0.8
87,Phoebe,2020-06-12,test1,0.0
88,Rachel,2021-04-13,test1,0.8
89,Ross,2021-02-20,test1,0.0
90,Phoebe,2020-09-03,test1,0.3
91,Joey,2020-11-06,test1,0.8
92,Ross,2020-09-12,test1,0.8
93,Chandler,2021-01-14,test1,0.7
94,Rachel,2020-04-15,test1,0.1
95,Phoebe,2021-03-30,test1,0.0
96,Chandler,2020-08-18,test1,0.3
97,Chandler,2020-10-09,test1,0.4
98,Phoebe,2020-08-08,test1,0.7
99,Ross,2021-01-12,test1,0.5
